date,max,avg,min
2024-12-01,100,97.0,87
2024-12-02,100,86.1,71
2024-12-03,100,88.6,81
2024-12-04,100,96.3,87
2024-12-05,100,94.8,87
2024-12-06,94,77.1,62
2024-12-07,100,83.6,66
2024-12-08,93,88.1,81
2024-12-09,93,84.4,70
2024-12-10,100,84.8,76
2024-12-11,100,83.0,76
2024-12-12,87,80.3,75
2024-12-13,93,85.0,75
2024-12-14,100,91.1,81
2024-12-15,100,93.1,81
2024-12-16,93,90.9,87
2024-12-17,100,92.0,87
2024-12-18,94,84.9,76
2024-12-19,94,83.9,71
2024-12-20,100,85.6,71
2024-12-21,100,91.1,82
2024-12-22,94,80.1,66
2024-12-23,87,71.9,62
2024-12-24,100,97.7,87
2024-12-25,100,97.4,93
2024-12-26,100,90.2,71
2024-12-27,100,88.5,62
2024-12-28,100,98.3,93
2024-12-29,100,94.5,87
2024-12-30,100,94.9,93
2024-12-31,100,94.5,87
