date,max,avg,min
2024-10-01,19,14.3,12
2024-10-02,15,13.3,12
2024-10-03,14,12.1,10
2024-10-04,17,11.0,7
2024-10-05,17,11.2,5
2024-10-06,17,12.9,10
2024-10-07,17,15.7,14
2024-10-08,19,15.5,13
2024-10-09,17,14.5,12
2024-10-10,17,13.6,11
2024-10-11,16,11.1,8
2024-10-12,16,11.8,8
2024-10-13,16,13.2,10
2024-10-14,21,14.5,10
2024-10-15,19,15.3,11
2024-10-16,26,19.8,15
2024-10-17,19,17.0,15
2024-10-18,15,13.8,13
2024-10-19,16,13.5,11
2024-10-20,19,15.6,12
2024-10-21,21,17.6,14
2024-10-22,18,13.1,9
2024-10-23,18,11.6,6
2024-10-24,19,12.3,7
2024-10-25,20,14.8,12
2024-10-26,20,15.3,14
2024-10-27,17,14.6,11
2024-10-28,17,13.4,11
2024-10-29,12,11.3,10
2024-10-30,13,12.0,11
2024-10-31,12,10.6,9
