date,max,avg,min
2024-05-01,20,15.8,12
2024-05-02,13,11.5,11
2024-05-03,16,12.2,9
2024-05-04,14,10.4,6
2024-05-05,18,13.4,10
2024-05-06,18,13.7,10
2024-05-07,19,14.2,8
2024-05-08,15,12.3,9
2024-05-09,21,14.2,9
2024-05-10,24,18.3,12
2024-05-11,26,19.7,13
2024-05-12,25,18.8,12
2024-05-13,22,17.9,15
2024-05-14,17,15.0,13
2024-05-15,22,15.4,12
2024-05-16,20,15.3,12
2024-05-17,20,14.9,9
2024-05-18,21,15.5,11
2024-05-19,22,15.9,12
2024-05-20,21,16.4,12
2024-05-21,21,16.0,12
2024-05-22,21,15.8,13
2024-05-23,20,15.1,13
2024-05-24,21,15.5,10
2024-05-25,22,15.9,9
2024-05-26,23,17.7,15
2024-05-27,18,15.0,11
2024-05-28,17,13.6,9
2024-05-29,16,15.2,14
2024-05-30,18,14.2,13
2024-05-31,17,13.7,12
