date,max,avg,min
2024-09-01,94,76.6,54
2024-09-02,94,74.8,51
2024-09-03,94,79.7,60
2024-09-04,88,69.6,50
2024-09-05,100,83.1,64
2024-09-06,100,79.6,53
2024-09-07,100,85.9,73
2024-09-08,94,82.7,57
2024-09-09,100,87.7,77
2024-09-10,94,74.7,56
2024-09-11,94,72.2,45
2024-09-12,93,77.3,52
2024-09-13,93,75.6,55
2024-09-14,100,71.1,45
2024-09-15,100,68.6,43
2024-09-16,88,71.2,56
2024-09-17,88,75.0,53
2024-09-18,94,70.6,47
2024-09-19,82,61.7,36
2024-09-20,82,68.2,50
2024-09-21,94,75.8,53
2024-09-22,100,89.8,73
2024-09-23,100,86.7,64
2024-09-24,100,87.1,73
2024-09-25,100,94.0,82
2024-09-26,100,87.1,0
2024-09-27,94,81.5,59
2024-09-28,94,75.2,48
2024-09-29,100,86.8,72
2024-09-30,94,83.9,72
