date,max,avg,min
2025-03-01,8,4.5,2
2025-03-02,12,5.7,1
2025-03-03,13,6.2,0
2025-03-04,14,6.7,1
2025-03-05,19,8.7,1
2025-03-06,19,10.9,3
2025-03-07,18,12.3,7
2025-03-08,19,12.7,7
2025-03-09,18,12.8,8
2025-03-10,13,10.5,6
2025-03-11,11,7.0,3
2025-03-12,7,5.3,4
2025-03-13,9,5.2,2
2025-03-14,8,3.9,0
2025-03-15,9,4.8,1
2025-03-16,11,6.6,3
2025-03-17,12,6.9,2
2025-03-18,13,7.8,2
2025-03-19,19,11.6,5
2025-03-20,19,12.9,6
2025-03-21,19,14.2,11
2025-03-22,18,13.0,9
2025-03-23,15,10.1,7
2025-03-24,17,11.9,6
2025-03-25,15,11.0,8
2025-03-26,15,10.5,8
