date,max,avg,min
2025-02-01,2,0.3,-1
2025-02-02,2,-0.7,-4
2025-02-03,2,-0.4,-3
2025-02-04,2,0.2,-1
2025-02-05,6,3.3,1
2025-02-06,3,1.3,-1
2025-02-07,4,1.0,-1
2025-02-08,6,2.3,0
2025-02-09,4,3.6,3
2025-02-10,5,3.7,2
2025-02-11,3,1.8,0
2025-02-12,2,1.1,0
2025-02-13,3,1.2,-2
2025-02-14,0,-2.4,-4
2025-02-15,-2,-3.0,-5
2025-02-16,0,-1.4,-2
2025-02-17,-1,-1.7,-3
2025-02-18,0,-1.3,-3
2025-02-19,7,1.4,-2
2025-02-20,12,8.6,6
2025-02-21,9,8.5,7
2025-02-22,10,7.7,6
2025-02-23,8,6.2,4
2025-02-24,10,7.8,6
2025-02-25,9,7.4,4
2025-02-26,7,4.8,2
2025-02-27,5,2.9,1
2025-02-28,3,2.3,1
