date,max,avg,min
2024-12-01,9,4.8,1
2024-12-02,13,10.3,7
2024-12-03,8,6.7,5
2024-12-04,6,4.7,2
2024-12-05,12,7.2,5
2024-12-06,13,9.4,8
2024-12-07,12,8.9,7
2024-12-08,8,7.4,7
2024-12-09,7,5.7,5
2024-12-10,6,5.5,4
2024-12-11,5,5.0,4
2024-12-12,5,3.9,2
2024-12-13,3,2.1,0
2024-12-14,4,2.6,0
2024-12-15,9,6.0,3
2024-12-16,10,9.0,8
2024-12-17,8,7.0,6
2024-12-18,13,10.6,7
2024-12-19,13,8.7,3
2024-12-20,8,4.9,1
2024-12-21,11,8.7,7
2024-12-22,12,7.2,4
2024-12-23,8,6.4,5
2024-12-24,8,6.3,5
2024-12-25,10,9.2,8
2024-12-26,9,6.7,3
2024-12-27,8,2.8,-1
2024-12-28,1,-0.3,-2
2024-12-29,4,2.5,1
2024-12-30,4,2.7,1
2024-12-31,5,3.0,1
