date,max,avg,min
2024-10-01,94,76.7,52
2024-10-02,94,84.0,72
2024-10-03,94,78.9,63
2024-10-04,93,75.0,52
2024-10-05,100,77.0,45
2024-10-06,100,91.8,82
2024-10-07,100,94.5,82
2024-10-08,100,87.1,64
2024-10-09,100,95.1,88
2024-10-10,94,87.5,68
2024-10-11,100,76.9,45
2024-10-12,94,85.4,72
2024-10-13,94,72.4,51
2024-10-14,94,81.8,68
2024-10-15,100,91.4,78
2024-10-16,94,77.6,54
2024-10-17,100,93.7,83
2024-10-18,100,92.1,82
2024-10-19,100,91.2,77
2024-10-20,100,87.4,77
2024-10-21,94,84.2,68
2024-10-22,100,85.0,59
2024-10-23,100,81.3,52
2024-10-24,94,84.1,64
2024-10-25,100,89.7,64
2024-10-26,100,93.5,78
2024-10-27,100,91.6,77
2024-10-28,100,94.5,77
2024-10-29,100,94.5,88
2024-10-30,100,92.0,82
2024-10-31,100,95.5,88
