date,max,avg,min
2024-06-01,14,13.3,13
2024-06-02,17,14.1,12
2024-06-03,22,15.6,8
2024-06-04,24,18.6,11
2024-06-05,21,17.7,14
2024-06-06,22,16.1,8
2024-06-07,22,16.4,8
2024-06-08,23,17.0,9
2024-06-09,22,16.0,9
2024-06-10,18,14.0,10
2024-06-11,19,12.5,6
2024-06-12,18,13.0,6
2024-06-13,21,15.7,8
2024-06-14,22,16.8,13
2024-06-15,18,15.0,11
2024-06-16,19,15.4,13
2024-06-17,24,18.2,14
2024-06-18,24,19.3,15
2024-06-19,21,18.3,16
2024-06-20,23,19.1,16
2024-06-21,23,19.1,17
2024-06-22,21,17.3,13
2024-06-23,25,18.2,11
2024-06-24,28,21.8,15
2024-06-25,30,24.3,18
2024-06-26,31,25.5,19
2024-06-27,31,24.7,18
2024-06-28,25,19.7,15
2024-06-29,24,18.8,15
2024-06-30,24,19.0,15
