date,max,avg,min
2024-10-01,11,10.0,8
2024-10-02,13,10.6,9
2024-10-03,11,8.4,6
2024-10-04,8,6.5,5
2024-10-05,9,6.8,5
2024-10-06,16,11.6,7
2024-10-07,16,14.8,13
2024-10-08,15,13.2,12
2024-10-09,16,13.7,11
2024-10-10,13,11.4,9
2024-10-11,10,6.8,4
2024-10-12,14,9.4,6
2024-10-13,13,8.1,5
2024-10-14,15,11.4,7
2024-10-15,16,13.8,10
2024-10-16,18,15.4,14
2024-10-17,17,15.9,14
2024-10-18,14,12.5,12
2024-10-19,14,12.0,10
2024-10-20,15,13.4,12
2024-10-21,16,14.8,12
2024-10-22,13,10.4,8
2024-10-23,11,8.1,6
2024-10-24,13,9.6,6
2024-10-25,15,13.0,11
2024-10-26,16,14.2,13
2024-10-27,14,13.2,11
2024-10-28,14,12.5,10
2024-10-29,11,10.4,10
2024-10-30,11,10.7,10
2024-10-31,11,9.8,9
