date,max,avg,min
2024-01-01,8,4.9,3
2024-01-02,10,8.9,8
2024-01-03,9,7.9,6
2024-01-04,9,6.8,5
2024-01-05,7,4.3,3
2024-01-06,4,3.0,1
2024-01-07,2,0.3,-2
2024-01-08,-3,-5.7,-7
2024-01-09,-3,-5.8,-8
2024-01-10,-4,-5.1,-6
2024-01-11,-4,-5.0,-6
2024-01-12,0,-1.1,-6
2024-01-13,-1,-2.3,-4
2024-01-14,-2,-3.8,-5
2024-01-15,1,-3.1,-7
2024-01-16,-2,-5.0,-7
2024-01-17,11,1.4,-4
2024-01-18,0,-1.3,-4
2024-01-19,-1,-3.0,-5
2024-01-20,-3,-4.0,-7
2024-01-21,8,1.0,-5
2024-01-22,10,6.8,4
2024-01-23,11,7.1,4
2024-01-24,12,9.5,8
2024-01-25,11,9.7,9
2024-01-26,11,5.5,-1
2024-01-27,1,-0.3,-3
2024-01-28,4,1.9,-1
2024-01-29,8,5.6,3
2024-01-30,9,6.7,3
2024-01-31,6,3.6,1
