date,max,avg,min
2024-07-01,21,18.2,15
2024-07-02,22,17.5,15
2024-07-03,21,16.8,13
2024-07-04,22,18.4,15
2024-07-05,26,19.4,12
2024-07-06,22,18.1,15
2024-07-07,23,16.6,10
2024-07-08,26,19.2,11
2024-07-09,26,21.3,17
2024-07-10,26,21.9,19
2024-07-11,24,20.7,15
2024-07-12,20,16.7,14
2024-07-13,24,17.2,11
2024-07-14,23,18.2,11
2024-07-15,27,21.0,12
2024-07-16,24,19.5,16
2024-07-17,27,20.5,14
2024-07-18,30,23.3,15
2024-07-19,33,25.9,17
2024-07-20,32,26.3,19
2024-07-21,26,22.0,19
2024-07-22,25,20.0,14
2024-07-23,25,20.4,18
2024-07-24,26,19.9,14
2024-07-25,29,23.1,17
2024-07-26,23,20.7,19
2024-07-27,19,18.1,17
2024-07-28,25,19.0,11
2024-07-29,31,23.7,16
2024-07-30,36,27.8,20
2024-07-31,31,26.0,21
