date,max,avg,min
2024-04-01,87,80.0,59
2024-04-02,87,79.2,63
2024-04-03,100,80.3,52
2024-04-04,94,80.3,56
2024-04-05,94,77.0,67
2024-04-06,82,57.5,36
2024-04-07,88,70.0,59
2024-04-08,100,79.5,53
2024-04-09,88,68.9,54
2024-04-10,93,66.8,42
2024-04-11,88,73.8,64
2024-04-12,100,75.8,53
2024-04-13,100,68.2,41
2024-04-14,88,70.0,52
2024-04-15,87,70.6,55
2024-04-16,87,73.0,54
2024-04-17,93,72.3,50
2024-04-18,93,70.1,41
2024-04-19,93,77.7,66
2024-04-20,87,68.4,57
2024-04-21,87,65.5,44
2024-04-22,93,65.1,38
2024-04-23,87,58.4,30
2024-04-24,93,67.5,47
2024-04-25,93,59.8,38
2024-04-26,93,66.7,42
2024-04-27,100,88.3,67
2024-04-28,100,76.1,48
2024-04-29,94,73.0,49
2024-04-30,94,81.8,64
