date,max,avg,min
2024-02-01,100,88.8,76
2024-02-02,100,91.3,71
2024-02-03,100,91.0,82
2024-02-04,93,87.7,82
2024-02-05,93,81.5,76
2024-02-06,93,83.0,72
2024-02-07,100,90.7,82
2024-02-08,100,88.9,77
2024-02-09,94,80.8,72
2024-02-10,100,93.7,87
2024-02-11,93,85.9,71
2024-02-12,93,85.2,54
2024-02-13,100,86.0,71
2024-02-14,100,88.9,77
2024-02-15,93,70.4,49
2024-02-16,94,73.7,62
2024-02-17,76,61.8,48
2024-02-18,100,87.0,76
2024-02-19,94,86.3,71
2024-02-20,100,88.7,76
2024-02-21,100,89.2,71
2024-02-22,100,88.4,71
2024-02-23,87,83.0,71
2024-02-24,93,82.7,66
2024-02-25,100,90.1,76
2024-02-26,100,92.9,87
2024-02-27,93,81.8,66
2024-02-28,100,83.7,71
2024-02-29,100,92.1,81
