date,max,avg,min
2024-06-01,13,11.6,10
2024-06-02,11,10.4,9
2024-06-03,13,9.8,7
2024-06-04,15,12.7,10
2024-06-05,13,11.3,8
2024-06-06,10,8.4,6
2024-06-07,9,7.2,5
2024-06-08,12,9.3,7
2024-06-09,12,8.2,3
2024-06-10,13,7.8,5
2024-06-11,9,7.2,5
2024-06-12,9,7.2,5
2024-06-13,10,7.4,6
2024-06-14,14,11.5,8
2024-06-15,11,8.8,6
2024-06-16,15,12.5,10
2024-06-17,17,14.7,13
2024-06-18,18,16.4,14
2024-06-19,16,14.5,14
2024-06-20,17,14.9,13
2024-06-21,17,15.5,12
2024-06-22,16,12.6,10
2024-06-23,12,10.7,9
2024-06-24,15,13.5,12
2024-06-25,16,14.8,14
2024-06-26,18,16.4,15
2024-06-27,21,17.1,11
2024-06-28,15,10.6,8
2024-06-29,14,12.0,9
2024-06-30,15,13.8,13
