date,max,avg,min
2024-08-01,22,20.1,16
2024-08-02,19,17.2,14
2024-08-03,16,13.9,13
2024-08-04,16,13.0,10
2024-08-05,15,12.7,12
2024-08-06,16,13.5,11
2024-08-07,16,11.7,8
2024-08-08,13,11.0,10
2024-08-09,18,14.8,12
2024-08-10,17,14.0,12
2024-08-11,15,13.5,12
2024-08-12,21,16.7,15
2024-08-13,21,18.4,17
2024-08-14,18,16.9,15
2024-08-15,17,14.6,11
2024-08-16,17,15.1,11
2024-08-17,19,18.3,17
2024-08-18,17,13.1,11
2024-08-19,13,12.0,11
2024-08-20,19,14.5,12
2024-08-21,13,10.3,8
2024-08-22,12,10.7,8
2024-08-23,18,15.8,12
2024-08-24,19,16.8,13
2024-08-25,13,9.5,6
2024-08-26,12,9.8,9
2024-08-27,14,11.7,10
2024-08-28,17,14.3,11
2024-08-29,17,14.8,11
2024-08-30,17,14.2,9
2024-08-31,20,16.8,14
