date,max,avg,min
2024-05-01,94,80.6,64
2024-05-02,94,88.1,77
2024-05-03,93,74.3,52
2024-05-04,100,84.3,67
2024-05-05,100,86.6,68
2024-05-06,100,77.0,49
2024-05-07,100,76.6,52
2024-05-08,93,75.5,67
2024-05-09,100,74.1,46
2024-05-10,88,60.3,38
2024-05-11,82,59.7,36
2024-05-12,88,70.7,53
2024-05-13,94,73.9,56
2024-05-14,100,91.1,82
2024-05-15,94,76.9,46
2024-05-16,94,71.5,43
2024-05-17,94,71.8,49
2024-05-18,94,77.7,52
2024-05-19,100,79.4,43
2024-05-20,94,74.6,49
2024-05-21,100,80.8,56
2024-05-22,94,76.8,49
2024-05-23,94,78.7,49
2024-05-24,100,76.7,53
2024-05-25,100,73.2,49
2024-05-26,88,69.3,46
2024-05-27,94,73.4,48
2024-05-28,94,85.7,76
2024-05-29,100,91.4,82
2024-05-30,94,82.8,63
2024-05-31,94,85.4,68
