date,max,avg,min
2024-01-01,93,82.2,76
2024-01-02,94,89.3,82
2024-01-03,94,84.7,76
2024-01-04,93,84.2,76
2024-01-05,93,80.5,66
2024-01-06,100,84.5,71
2024-01-07,87,80.6,75
2024-01-08,93,71.0,64
2024-01-09,93,76.2,64
2024-01-10,80,74.4,64
2024-01-11,80,71.5,56
2024-01-12,93,83.7,69
2024-01-13,100,95.5,86
2024-01-14,100,90.1,80
2024-01-15,100,77.7,45
2024-01-16,93,81.2,52
2024-01-17,100,95.0,80
2024-01-18,100,86.5,70
2024-01-19,93,87.2,65
2024-01-20,100,81.6,60
2024-01-21,93,81.5,65
2024-01-22,94,76.9,62
2024-01-23,94,86.9,76
2024-01-24,94,77.8,63
2024-01-25,100,90.9,77
2024-01-26,100,78.9,44
2024-01-27,100,81.2,57
2024-01-28,93,85.2,66
2024-01-29,93,80.5,67
2024-01-30,94,80.9,67
2024-01-31,87,76.5,66
