date,max,avg,min
2024-08-01,31,24.6,18
2024-08-02,28,23.0,19
2024-08-03,24,19.7,15
2024-08-04,24,20.1,17
2024-08-05,28,21.2,13
2024-08-06,27,21.6,14
2024-08-07,23,19.3,15
2024-08-08,26,20.9,15
2024-08-09,24,20.9,17
2024-08-10,28,21.8,15
2024-08-11,30,23.7,17
2024-08-12,37,27.9,19
2024-08-13,26,23.9,21
2024-08-14,29,23.7,20
2024-08-15,27,23.0,19
2024-08-16,27,21.9,17
2024-08-17,23,20.0,18
2024-08-18,22,17.7,14
2024-08-19,23,17.9,12
2024-08-20,25,18.2,14
2024-08-21,22,16.5,11
2024-08-22,26,18.7,12
2024-08-23,26,20.7,16
2024-08-24,30,22.1,16
2024-08-25,23,16.9,11
2024-08-26,24,17.7,10
2024-08-27,27,19.8,12
2024-08-28,32,23.0,13
2024-08-29,27,22.3,18
2024-08-30,20,17.6,16
2024-08-31,25,19.7,15
