date,max,avg,min
2024-09-01,21,18.3,17
2024-09-02,18,16.3,15
2024-09-03,18,15.9,13
2024-09-04,16,13.4,11
2024-09-05,15,13.3,12
2024-09-06,15,13.1,11
2024-09-07,18,15.8,14
2024-09-08,16,13.4,12
2024-09-09,15,14.1,11
2024-09-10,12,10.5,9
2024-09-11,14,9.3,5
2024-09-12,9,7.0,5
2024-09-13,10,7.4,5
2024-09-14,9,6.8,5
2024-09-15,9,6.9,5
2024-09-16,13,10.9,8
2024-09-17,13,12.0,11
2024-09-18,15,12.9,12
2024-09-19,15,11.9,10
2024-09-20,15,12.3,11
2024-09-21,16,14.3,13
2024-09-22,17,15.7,15
2024-09-23,15,13.3,12
2024-09-24,14,13.1,13
2024-09-25,15,13.8,13
2024-09-26,16,13.8,0
2024-09-27,12,10.0,8
2024-09-28,10,6.6,4
2024-09-29,9,7.0,4
2024-09-30,14,12.1,9
