date,max,avg,min
2024-07-01,15,12.0,9
2024-07-02,14,11.8,9
2024-07-03,13,10.6,9
2024-07-04,15,11.2,8
2024-07-05,13,10.5,8
2024-07-06,15,9.6,5
2024-07-07,10,7.4,5
2024-07-08,12,10.8,9
2024-07-09,18,14.7,12
2024-07-10,17,14.7,12
2024-07-11,15,13.5,12
2024-07-12,15,13.2,12
2024-07-13,13,11.3,6
2024-07-14,14,11.7,10
2024-07-15,18,13.7,10
2024-07-16,15,12.6,11
2024-07-17,14,12.0,10
2024-07-18,15,13.2,12
2024-07-19,18,15.2,13
2024-07-20,18,15.7,14
2024-07-21,19,17.3,14
2024-07-22,16,13.3,12
2024-07-23,19,15.6,11
2024-07-24,15,12.9,11
2024-07-25,15,13.9,12
2024-07-26,19,18.0,16
2024-07-27,19,16.9,15
2024-07-28,15,13.0,10
2024-07-29,17,14.7,13
2024-07-30,22,18.9,16
2024-07-31,23,20.6,18
