date,max,avg,min
2024-01-01,10,7.8,5
2024-01-02,11,10.6,10
2024-01-03,12,10.4,9
2024-01-04,11,9.4,7
2024-01-05,10,7.5,5
2024-01-06,8,5.5,3
2024-01-07,5,3.4,1
2024-01-08,1,-1.0,-2
2024-01-09,-1,-2.1,-3
2024-01-10,1,-1.0,-2
2024-01-11,3,-0.4,-2
2024-01-12,3,1.4,-1
2024-01-13,0,-1.7,-2
2024-01-14,-1,-2.4,-4
2024-01-15,6,0.8,-3
2024-01-16,4,-1.9,-6
2024-01-17,12,2.1,-1
2024-01-18,4,0.8,-2
2024-01-19,4,-1.1,-4
2024-01-20,3,-1.1,-6
2024-01-21,10,3.9,-2
2024-01-22,14,10.8,8
2024-01-23,13,9.2,7
2024-01-24,15,13.4,12
2024-01-25,13,11.3,10
2024-01-26,12,9.4,2
2024-01-27,8,2.9,-2
2024-01-28,9,4.3,1
2024-01-29,14,8.9,4
2024-01-30,12,9.9,8
2024-01-31,11,7.5,3
