date,max,avg,min
2024-11-01,100,95.8,87
2024-11-02,94,87.0,77
2024-11-03,93,85.1,76
2024-11-04,100,88.0,68
2024-11-05,100,95.8,88
2024-11-06,94,87.3,82
2024-11-07,100,93.9,87
2024-11-08,100,96.0,87
2024-11-09,100,98.1,94
2024-11-10,100,91.3,82
2024-11-11,100,86.3,72
2024-11-12,93,83.9,71
2024-11-13,87,79.2,71
2024-11-14,94,82.6,67
2024-11-15,94,76.2,62
2024-11-16,93,73.2,62
2024-11-17,93,91.1,87
2024-11-18,100,92.8,87
2024-11-19,94,89.3,81
2024-11-20,93,80.4,53
2024-11-21,100,96.7,87
2024-11-22,100,89.4,76
2024-11-23,100,79.3,62
2024-11-24,63,60.3,55
2024-11-25,94,79.6,52
2024-11-26,100,91.8,82
2024-11-27,100,89.3,77
2024-11-28,93,78.1,62
2024-11-29,100,86.8,66
2024-11-30,100,91.2,66
