date,max,avg,min
2024-03-01,93,84.6,71
2024-03-02,100,91.9,87
2024-03-03,100,85.3,62
2024-03-04,100,73.6,50
2024-03-05,93,79.3,50
2024-03-06,93,84.5,66
2024-03-07,100,76.2,54
2024-03-08,87,69.4,54
2024-03-09,100,78.7,54
2024-03-10,100,86.2,67
2024-03-11,93,81.5,58
2024-03-12,100,89.0,81
2024-03-13,100,86.0,67
2024-03-14,100,77.7,49
2024-03-15,88,79.4,63
2024-03-16,88,73.7,55
2024-03-17,100,89.1,82
2024-03-18,100,78.0,59
2024-03-19,100,76.5,52
2024-03-20,100,71.6,43
2024-03-21,93,67.0,38
2024-03-22,100,72.1,46
2024-03-23,93,77.9,54
2024-03-24,93,71.1,47
2024-03-25,93,68.0,44
2024-03-26,100,85.5,66
2024-03-27,93,77.0,54
2024-03-28,93,70.3,54
2024-03-29,94,78.7,55
2024-03-30,93,86.4,71
2024-03-31,87,87.0,87
