date,max,avg,min
2024-09-01,28,22.9,19
2024-09-02,26,21.3,17
2024-09-03,22,19.6,18
2024-09-04,23,19.4,17
2024-09-05,19,16.2,13
2024-09-06,24,17.1,11
2024-09-07,22,18.3,16
2024-09-08,22,16.5,13
2024-09-09,18,16.2,14
2024-09-10,19,15.0,11
2024-09-11,18,14.5,11
2024-09-12,16,11.0,8
2024-09-13,17,11.7,7
2024-09-14,18,12.5,8
2024-09-15,20,13.3,6
2024-09-16,20,16.3,12
2024-09-17,22,16.6,14
2024-09-18,25,18.8,14
2024-09-19,26,20.0,15
2024-09-20,24,18.4,14
2024-09-21,24,19.0,14
2024-09-22,20,17.5,16
2024-09-23,19,15.7,14
2024-09-24,18,15.3,14
2024-09-25,17,14.8,14
2024-09-26,18,15.6,0
2024-09-27,16,13.2,11
2024-09-28,15,11.2,7
2024-09-29,13,9.2,5
2024-09-30,18,14.8,12
