date,max,avg,min
2024-02-01,12,9.6,6
2024-02-02,10,5.8,1
2024-02-03,10,9.0,7
2024-02-04,10,9.3,9
2024-02-05,9,8.3,7
2024-02-06,12,9.4,7
2024-02-07,12,11.0,10
2024-02-08,14,12.1,10
2024-02-09,14,11.4,10
2024-02-10,10,8.1,7
2024-02-11,11,8.7,7
2024-02-12,12,6.7,4
2024-02-13,10,6.7,3
2024-02-14,15,11.9,9
2024-02-15,19,13.7,9
2024-02-16,15,13.3,11
2024-02-17,15,11.3,8
2024-02-18,12,9.0,7
2024-02-19,12,10.6,8
2024-02-20,9,7.7,6
2024-02-21,11,8.2,6
2024-02-22,13,10.7,5
2024-02-23,8,5.8,4
2024-02-24,9,5.5,3
2024-02-25,9,6.7,5
2024-02-26,10,7.9,6
2024-02-27,9,6.4,5
2024-02-28,10,6.0,1
2024-02-29,11,8.8,7
