date,max,avg,min
2025-01-01,8,5.5,3
2025-01-02,8,4.9,3
2025-01-03,5,0.3,-2
2025-01-04,2,-1.2,-4
2025-01-05,13,10.3,1
2025-01-06,13,9.9,6
2025-01-07,7,5.5,3
2025-01-08,12,6.6,4
2025-01-09,11,6.3,3
2025-01-10,6,3.4,1
2025-01-11,3,0.9,0
2025-01-12,4,2.7,1
2025-01-13,5,1.9,-2
2025-01-14,5,-1.1,-5
2025-01-15,7,3.5,-2
2025-01-16,5,3.7,2
2025-01-17,3,0.4,-1
2025-01-18,2,0.5,-3
2025-01-19,1,-0.5,-3
2025-01-20,0,-1.2,-2
2025-01-21,2,-0.6,-2
2025-01-22,10,5.9,0
2025-01-23,8,6.5,4
2025-01-24,13,9.6,7
2025-01-25,13,10.0,7
2025-01-26,10,5.4,2
2025-01-27,12,9.8,8
2025-01-28,11,8.6,7
2025-01-29,9,7.5,6
2025-01-30,8,6.2,3
2025-01-31,6,2.5,0
