date,max,avg,min
2024-04-01,9,6.7,5
2024-04-02,9,7.1,5
2024-04-03,12,9.4,7
2024-04-04,12,11.0,10
2024-04-05,14,11.5,9
2024-04-06,12,8.9,5
2024-04-07,13,10.6,9
2024-04-08,14,11.6,10
2024-04-09,9,4.7,3
2024-04-10,7,4.1,2
2024-04-11,13,9.5,5
2024-04-12,14,11.8,10
2024-04-13,14,12.2,10
2024-04-14,13,9.8,6
2024-04-15,9,5.7,4
2024-04-16,8,4.4,2
2024-04-17,6,3.1,1
2024-04-18,4,2.4,0
2024-04-19,9,5.9,2
2024-04-20,4,1.9,1
2024-04-21,4,1.0,-1
2024-04-22,3,0.7,-2
2024-04-23,2,-1.1,-5
2024-04-24,5,2.1,-1
2024-04-25,3,0.7,-1
2024-04-26,8,5.0,3
2024-04-27,13,10.0,8
2024-04-28,10,7.5,5
2024-04-29,10,7.8,6
2024-04-30,13,11.3,10
