date,max,avg,min
2024-07-01,88,68.2,49
2024-07-02,82,69.7,56
2024-07-03,88,68.4,46
2024-07-04,94,65.5,41
2024-07-05,77,57.6,41
2024-07-06,94,59.8,33
2024-07-07,76,56.0,35
2024-07-08,94,60.6,39
2024-07-09,88,66.2,51
2024-07-10,88,65.5,44
2024-07-11,82,64.0,50
2024-07-12,94,80.5,60
2024-07-13,100,71.0,33
2024-07-14,94,68.6,44
2024-07-15,94,64.8,45
2024-07-16,88,66.1,44
2024-07-17,88,60.9,34
2024-07-18,88,55.9,33
2024-07-19,83,54.5,29
2024-07-20,73,53.3,38
2024-07-21,94,75.8,54
2024-07-22,88,66.0,50
2024-07-23,94,75.2,53
2024-07-24,94,66.1,44
2024-07-25,83,58.4,35
2024-07-26,100,84.9,65
2024-07-27,100,93.3,83
2024-07-28,100,70.7,47
2024-07-29,82,58.6,37
2024-07-30,83,60.1,39
2024-07-31,94,73.1,55
