date,max,avg,min
2024-03-01,8,4.9,3
2024-03-02,7,5.3,3
2024-03-03,5,3.9,2
2024-03-04,4,1.7,0
2024-03-05,6,3.9,1
2024-03-06,5,4.3,3
2024-03-07,6,3.3,1
2024-03-08,5,3.2,1
2024-03-09,8,4.9,3
2024-03-10,7,5.8,3
2024-03-11,7,5.3,4
2024-03-12,10,7.8,5
2024-03-13,11,9.0,8
2024-03-14,10,7.8,5
2024-03-15,11,10.0,8
2024-03-16,9,7.3,5
2024-03-17,12,10.2,8
2024-03-18,12,9.8,8
2024-03-19,10,8.0,6
2024-03-20,11,7.6,5
2024-03-21,10,8.0,6
2024-03-22,10,8.0,6
2024-03-23,8,3.9,2
2024-03-24,4,2.3,1
2024-03-25,5,2.2,1
2024-03-26,10,7.2,3
2024-03-27,6,4.5,3
2024-03-28,6,4.0,3
2024-03-29,9,7.3,4
2024-03-30,7,6.5,6
2024-03-31,7,7.0,7
