date,max,avg,min
2025-03-01,2,1.3,1
2025-03-02,2,0.5,-1
2025-03-03,2,0.7,-1
2025-03-04,3,1.3,0
2025-03-05,5,2.0,0
2025-03-06,3,1.5,-1
2025-03-07,4,2.9,1
2025-03-08,5,3.6,1
2025-03-09,8,4.8,3
2025-03-10,10,8.1,5
2025-03-11,10,5.1,2
2025-03-12,3,1.2,0
2025-03-13,2,0.8,-1
2025-03-14,3,0.1,-3
2025-03-15,0,-1.9,-3
2025-03-16,1,-0.1,-2
2025-03-17,0,-1.4,-2
2025-03-18,2,-1.1,-5
2025-03-19,5,3.1,2
2025-03-20,7,5.2,3
2025-03-21,12,7.8,5
2025-03-22,12,10.2,8
2025-03-23,9,7.4,6
2025-03-24,10,8.5,5
2025-03-25,9,7.1,5
2025-03-26,10,8.0,6
