date,max,avg,min
2025-03-01,93,80.5,62
2025-03-02,93,71.6,44
2025-03-03,100,70.9,44
2025-03-04,93,70.8,44
2025-03-05,100,68.2,30
2025-03-06,93,56.6,30
2025-03-07,81,55.0,34
2025-03-08,71,55.1,40
2025-03-09,72,59.5,45
2025-03-10,100,85.5,71
2025-03-11,100,88.8,66
2025-03-12,87,75.2,61
2025-03-13,93,74.5,53
2025-03-14,100,78.4,57
2025-03-15,81,62.9,43
2025-03-16,75,63.2,47
2025-03-17,75,57.5,38
2025-03-18,66,53.9,44
2025-03-19,87,59.2,37
2025-03-20,87,61.1,43
2025-03-21,94,66.3,49
2025-03-22,94,84.7,56
2025-03-23,100,84.3,59
2025-03-24,100,81.6,55
2025-03-25,93,77.5,59
2025-03-26,100,85.4,55
