date,max,avg,min
2025-01-01,6,4.3,3
2025-01-02,7,3.9,1
2025-01-03,1,-1.5,-3
2025-01-04,0,-2.7,-5
2025-01-05,10,8.1,1
2025-01-06,9,5.7,2
2025-01-07,3,1.8,1
2025-01-08,10,5.5,3
2025-01-09,10,4.5,0
2025-01-10,2,1.1,0
2025-01-11,1,-0.4,-2
2025-01-12,2,0.0,-2
2025-01-13,1,-3.0,-5
2025-01-14,-2,-4.2,-6
2025-01-15,6,2.7,-4
2025-01-16,4,2.1,1
2025-01-17,1,-0.2,-1
2025-01-18,0,-1.2,-3
2025-01-19,-1,-1.7,-3
2025-01-20,-1,-2.0,-3
2025-01-21,1,-0.8,-2
2025-01-22,9,5.2,0
2025-01-23,6,4.0,2
2025-01-24,9,5.9,3
2025-01-25,9,7.3,6
2025-01-26,7,3.3,1
2025-01-27,10,6.4,4
2025-01-28,7,5.3,3
2025-01-29,7,5.9,4
2025-01-30,7,4.7,1
2025-01-31,2,1.1,0
