date,max,avg,min
2025-02-01,100,83.8,57
2025-02-02,100,84.2,62
2025-02-03,100,92.9,70
2025-02-04,100,99.3,93
2025-02-05,100,95.8,87
2025-02-06,100,85.2,70
2025-02-07,93,81.0,70
2025-02-08,93,78.5,61
2025-02-09,100,89.3,81
2025-02-10,100,91.2,81
2025-02-11,93,83.7,70
2025-02-12,93,82.1,70
2025-02-13,93,79.3,61
2025-02-14,87,74.3,57
2025-02-15,93,77.0,61
2025-02-16,93,77.1,61
2025-02-17,93,74.2,53
2025-02-18,87,71.8,54
2025-02-19,87,74.0,58
2025-02-20,100,88.8,77
2025-02-21,94,73.8,59
2025-02-22,100,80.3,63
2025-02-23,100,81.1,55
2025-02-24,100,81.8,63
2025-02-25,100,91.8,87
2025-02-26,100,88.0,66
2025-02-27,93,79.7,57
2025-02-28,87,76.0,62
