date,max,avg,min
2025-02-01,7,3.0,-1
2025-02-02,8,1.9,-3
2025-02-03,6,0.7,-3
2025-02-04,2,0.3,-1
2025-02-05,6,3.9,1
2025-02-06,5,3.6,2
2025-02-07,7,4.0,2
2025-02-08,7,5.9,4
2025-02-09,7,5.3,4
2025-02-10,6,5.0,3
2025-02-11,6,4.4,3
2025-02-12,5,4.0,2
2025-02-13,6,4.6,2
2025-02-14,5,2.0,-1
2025-02-15,4,0.7,-3
2025-02-16,6,2.4,-1
2025-02-17,8,2.7,-1
2025-02-18,9,3.5,0
2025-02-19,11,5.8,0
2025-02-20,14,10.4,7
2025-02-21,16,13.3,10
2025-02-22,14,11.1,6
2025-02-23,15,9.5,4
2025-02-24,14,10.9,9
2025-02-25,10,8.7,6
2025-02-26,10,6.8,3
2025-02-27,9,6.3,3
2025-02-28,9,6.4,4
